"","X1","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","lon","lat"
"50000",50000,"CERTIFIED","CARBONITE, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","SENIOR DATABASE MARKETING ANALYST","Y",74006,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
"50001",50001,"CERTIFIED","TRILOKI, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS MANAGER/ GENERAL MANAGER","N",36920,2016,"GULF SHORES, ALABAMA",NA,NA
"50002",50002,"DENIED","DORAL FLY MULTISERVICES LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS DEVELOPMENT MANAGER","N",69513.6,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
"50003",50003,"CERTIFIED-WITHDRAWN","SECOO, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","COMMUNICATIONS SPECIALIST","N",45905.6,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50004",50004,"CERTIFIED","BACKSTAGE, LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","USER ACQUISITION (MARKETING) ASSOCIATE","N",45906,2016,"BROOKLYN, NEW YORK",-73.9441579,40.6781784
"50005",50005,"CERTIFIED","AWESOME CENTER FOR ENTREPRENEURSHIP INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","DIRECTOR OF INTERNATIONAL & DOMESTIC RESEARCH DEVELOPMENT","N",43118,2016,"LEXINGTON, KENTUCKY",-84.5037164,38.0405837
"50006",50006,"CERTIFIED","CAMP CHIPINAW RECREATION CO., LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","INTERNATIONAL MARKETING COORDINATOR","N",33051,2016,"CORAL SPRINGS, FLORIDA",-80.2706044,26.271192
"50007",50007,"CERTIFIED","ROOKMEDIA USA, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKETING OPTIMIZATION ANALYST","N",45906,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"50008",50008,"CERTIFIED","MINIMUM AND MAXIMUM INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYSIST","N",39354,2016,"POMONA, CALIFORNIA",-117.7499909,34.055103
"50009",50009,"CERTIFIED","TEXON USA, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET ANALYST","N",44928,2016,"FARMERS BRANCH, TEXAS",-96.8961151,32.9265137
"50010",50010,"WITHDRAWN","PROCURED, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MEDICAL DEVICE PRODUCT ANALYST","N",36317,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
"50011",50011,"CERTIFIED","FIFTH AVENUE COLLECTION, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST","N",35651,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
"50012",50012,"CERTIFIED","TRILOKI, INC.","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","BUSINESS MANAGER/ GENERAL MANAGER","N",42536,2016,"THEODORE, ALABAMA",NA,NA
"50013",50013,"DENIED","SEARCH AMERICA LLC","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","MARKET RESEARCH ANALYST AND MARKETING SPECIALIST","N",50024,2016,"PEABODY, MASSACHUSETTS",-70.9286609,42.5278731
